Tanggal,DKI Jakarta,Pasar Glodok,Pasar Senen Blok III - VI,Pasar Minggu,Pasar Kramat Jati,Pasar Sunter Podomoro
1-Mei-21,13872,13500,14000,14000,13000,14000
2-Mei-21,13872,13500,14000,14000,13000,14000
3-Mei-21,13862,13500,14000,14000,13000,13000
4-Mei-21,13830,13500,14000,14000,13000,13000
5-Mei-21,13862,13500,14000,14000,13000,13000
6-Mei-21,13883,13500,14000,14000,13000,14000
7-Mei-21,13862,13500,14000,14000,13000,14000
8-Mei-21,13840,13500,14000,14000,13000,14000
9-Mei-21,13979,13500,14000,14000,13000,14000
10-Mei-21,13936,13500,14000,14000,13000,14000
11-Mei-21,13915,13500,14000,14000,13000,14000
12-Mei-21,13936,13500,14000,14000,13000,14000
13-Mei-21,13926,13500,14000,14000,13000,14000
14-Mei-21,13926,13500,14000,14000,13000,14000
15-Mei-21,13926,13500,14000,14000,13000,14000
16-Mei-21,13926,13000,14000,14000,13000,14000
17-Mei-21,13883,13500,14000,14000,13000,14000
18-Mei-21,13817,13500,14000,14000,13000,14000
19-Mei-21,13872,13500,14000,14000,13000,14000
20-Mei-21,13862,13500,14000,14000,13000,13000
21-Mei-21,13883,13500,14000,14000,13000,13000
22-Mei-21,13862,13500,14000,14000,13000,14000
23-Mei-21,13862,13500,14000,14000,13000,14000
24-Mei-21,13840,13500,14000,14000,13000,13000
25-Mei-21,13862,13500,14000,14000,13000,14000
26-Mei-21,13862,13500,14000,14000,13000,14000
27-Mei-21,13840,13500,14000,14000,13000,14000
28-Mei-21,13830,13500,14000,14000,13000,14000
29-Mei-21,13830,13500,14000,14000,13000,14000
30-Mei-21,13872,13500,14000,14000,13000,14000
31-Mei-21,13883,13500,14000,14000,13000,14000
1-Jun-21,13862,13500,14000,14000,13000,14000
2-Jun-21,13915,13500,14000,14000,13000,14000
3-Jun-21,13862,13500,14000,14000,13000,14000
4-Jun-21,13840,13500,14000,14000,13000,14000
5-Jun-21,13798,13500,14000,14000,13000,14000
6-Jun-21,13830,13500,14000,14000,13000,14000
7-Jun-21,13830,13500,14000,14000,13000,14000
8-Jun-21,13872,13000,14000,14000,13000,14000
9-Jun-21,13851,13000,14000,14000,13000,14000
10-Jun-21,13851,13000,14000,14000,13000,14000
11-Jun-21,13851,13000,14000,14000,13000,14000
12-Jun-21,13883,13000,14000,14000,13000,14000
13-Jun-21,13872,13000,14000,14000,13000,14000
14-Jun-21,13830,13000,14000,14000,13000,14000
15-Jun-21,13851,13000,14000,14000,13000,14000
16-Jun-21,13819,13000,14000,14000,13000,14000
17-Jun-21,13830,13000,14000,14000,13000,14000
18-Jun-21,13830,13000,14000,14000,13000,14000
19-Jun-21,13830,13000,14000,14000,13000,14000
20-Jun-21,13840,13000,14000,14000,13000,14000
21-Jun-21,13755,13000,14000,14000,13000,14000
22-Jun-21,13734,13000,14000,14000,13000,14000
23-Jun-21,13734,13000,14000,14000,13000,14000
24-Jun-21,13809,13000,14000,14000,13000,14000
25-Jun-21,13745,13000,14000,14000,13000,14000
26-Jun-21,13798,13000,14000,14000,13000,14000
27-Jun-21,13766,13000,14000,14000,13000,14000
28-Jun-21,13809,13000,14000,14000,13000,14000
29-Jun-21,13809,13000,14000,14000,13000,14000
30-Jun-21,13734,13000,14000,14000,13000,14000
1-Jul-21,13755,13000,14000,14000,13000,14000
2-Jul-21,13798,13000,14000,14000,13000,14000
3-Jul-21,13787,13000,14000,14000,13000,14000
4-Jul-21,13755,13000,14000,14000,13000,14000
5-Jul-21,13798,13000,14000,14000,13000,14000
6-Jul-21,13787,13000,14000,14000,13000,14000
7-Jul-21,13787,13000,14000,14000,13000,14000
8-Jul-21,13787,13000,14000,14000,13000,14000
9-Jul-21,13809,13000,14000,14000,13000,14000
10-Jul-21,13830,13000,14000,14000,13000,14000
11-Jul-21,13830,13000,14000,14000,13000,14000
12-Jul-21,13787,13000,14000,14000,13000,14000
13-Jul-21,13787,13000,14000,14000,13000,14000
14-Jul-21,13787,13000,14000,14000,13000,14000
15-Jul-21,13787,13000,14000,14000,13000,14000
16-Jul-21,13798,13000,14000,14000,13000,14000
17-Jul-21,13819,13000,14000,14000,13000,14000
18-Jul-21,13809,13000,14000,14000,13000,14000
19-Jul-21,13787,13000,14000,14000,13000,14000
20-Jul-21,13819,13000,14000,14000,13000,14000
21-Jul-21,13894,13000,14000,14000,13000,14000
22-Jul-21,13723,13000,14000,14000,13000,14000
23-Jul-21,13745,13000,14000,14000,13000,14000
24-Jul-21,13787,13000,14000,14000,13000,14000
25-Jul-21,13777,13000,14000,14000,13000,14000
26-Jul-21,13809,13000,14000,14000,13000,14000
27-Jul-21,13819,13000,14000,14000,13000,14000
28-Jul-21,13777,13000,14000,14000,13000,14000
29-Jul-21,13798,13000,14000,14000,13000,14000
30-Jul-21,13798,13000,14000,14000,13000,14000
31-Jul-21,13798,13000,14000,14000,13000,14000
1-Agu-21,13787,13000,14000,14000,13000,14000
2-Agu-21,13809,13000,14000,14000,13000,14000
3-Agu-21,13766,13000,14000,14000,13000,14000
4-Agu-21,13777,13000,14000,14000,13000,14000
5-Agu-21,13777,13000,14000,14000,13000,14000
6-Agu-21,13787,13000,14000,14000,13000,14000
7-Agu-21,13819,13000,14000,14000,13000,14000
8-Agu-21,13798,13000,14000,14000,13000,14000
9-Agu-21,13777,13000,14000,14000,13000,14000
10-Agu-21,13819,13000,14000,14000,13000,14000
11-Agu-21,13851,13000,14000,14000,13000,14000
12-Agu-21,13787,13000,14000,14000,13000,14000
13-Agu-21,13787,13000,14000,14000,13000,14000
14-Agu-21,13819,13000,14000,14000,13000,14000
15-Agu-21,13787,13000,14000,14000,13000,14000
16-Agu-21,13830,13000,14000,14000,13000,14000
17-Agu-21,13798,13000,14000,14000,13000,14000
18-Agu-21,13798,13000,14000,14000,13000,14000
19-Agu-21,13755,13000,14000,14000,13000,14000
20-Agu-21,13745,13000,14000,14000,13000,14000
21-Agu-21,13766,13000,14000,14000,13000,14000
22-Agu-21,13766,13000,14000,14000,13000,14000
23-Agu-21,13745,13000,14000,14000,13000,14000
24-Agu-21,13755,13000,14000,14000,13000,14000
25-Agu-21,13766,13000,14000,14000,13000,14000
26-Agu-21,13766,13000,14000,14000,13000,14000
27-Agu-21,13745,13000,14000,14000,13000,14000
28-Agu-21,13745,13000,14000,14000,13000,13000
29-Agu-21,13766,13000,14000,14000,13000,14000
30-Agu-21,13798,13500,14000,14000,13000,14000
31-Agu-21,13777,13500,14000,14000,13000,14000
1-Sep-21,13777,13500,14000,14000,13000,14000
2-Sep-21,13798,13500,14000,14000,13000,14000
3-Sep-21,13819,13500,14000,14000,13000,14000
4-Sep-21,13734,13500,14000,14000,13000,14000
5-Sep-21,13702,13500,14000,14000,13000,13500
6-Sep-21,13723,13500,14000,14000,13000,14000
7-Sep-21,13691,13500,14000,14000,13000,14000
8-Sep-21,13745,13500,14000,14000,13000,14000
9-Sep-21,13766,13500,14000,14000,13000,14000
10-Sep-21,13734,13500,14000,14000,13000,14000
11-Sep-21,13723,13500,14000,14000,13000,14000
12-Sep-21,13723,13500,14000,14000,13000,14000
13-Sep-21,13713,13500,14000,14000,13000,14000
14-Sep-21,13755,13500,14000,14000,13000,13000
15-Sep-21,13734,13500,14000,14000,13000,13000
16-Sep-21,13734,13500,14000,14000,13000,13000
17-Sep-21,13702,13500,14000,14000,13000,13000
18-Sep-21,13702,13500,14000,14000,13000,13000
19-Sep-21,13702,13500,14000,14000,13000,13000
20-Sep-21,13713,13500,14000,14000,13000,13000
21-Sep-21,13723,13500,14000,14000,13000,13000
22-Sep-21,13723,13500,14000,14000,13000,13000
23-Sep-21,13745,13500,14000,14000,13000,13000
24-Sep-21,13734,13500,14000,14000,13000,13000
25-Sep-21,13734,13500,14000,14000,13000,13000
26-Sep-21,13755,13500,14000,14000,13000,13000
27-Sep-21,13723,13500,14000,14000,13000,13000
28-Sep-21,13766,13500,14000,14000,13000,13000
29-Sep-21,13702,13500,14000,14000,13000,13000
30-Sep-21,13691,13500,14000,14000,13000,13000
1-Okt-21,13734,13500,14000,14000,13000,13000
2-Okt-21,13734,13500,14000,14000,13000,13000
3-Okt-21,13745,13500,14000,14000,13000,13000
4-Okt-21,13734,13500,14000,14000,13000,13000
5-Okt-21,13755,13500,14000,14000,13000,13000
6-Okt-21,13745,13500,14000,14000,13000,13000
7-Okt-21,13713,13500,14000,14000,13000,13000
8-Okt-21,13691,13500,14000,14000,13000,13000
9-Okt-21,13691,13500,14000,14000,13000,13000
10-Okt-21,13681,13500,14000,14000,13000,13000
11-Okt-21,13713,13500,14000,14000,13000,13000
12-Okt-21,13691,13500,14000,14000,13000,13000
13-Okt-21,13713,13500,14000,14000,13000,13000
14-Okt-21,13691,13500,14000,14000,13000,13000
15-Okt-21,13713,13500,14000,14000,13000,13000
16-Okt-21,13713,13500,14000,14000,13000,13000
17-Okt-21,13691,13500,14000,14000,13000,13000
18-Okt-21,13713,13500,14000,14000,13000,13000
19-Okt-21,13691,13500,14000,14000,13000,13000
20-Okt-21,13691,13500,14000,14000,13000,13000
21-Okt-21,13691,13500,14000,14000,13000,13000
22-Okt-21,13691,13500,14000,14000,13000,13000
23-Okt-21,13702,13500,14000,14000,13000,13000
24-Okt-21,13702,13500,14000,14000,13000,13000
